auto_keyword_count,exclamation_count,question_mark_count,capital_ratio,num_urls,has_ip_in_url,has_url_shortener,avg_url_length,body_length,has_generic_greeting,special_char_count,has_html,has_hidden_content,has_qr_code,has_form,social_authority,social_scarcity,social_liking,social_consistency,social_social_proof,has_leet_speak,separator_obfuscation,mixed_scripts,pressure_fear,pressure_urgency,pressure_opportunity,pressure_secrecy,legit_has_phone,legit_has_address,legit_has_order_number,legit_has_privacy_policy,legit_has_physical_address,subj_capital_ratio,subj_urgency_count,subj_exclamations,subj_length,label,source
5,0,0,0.08778625954198473,0.0,0,0,0.0,129.0,0,22.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.1915,0,0,6,0,nazario
2,0,0,0.09326424870466321,0.0,0,0,0.0,60.0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571,1,0,6,0,nazario
3,7,0,0.057692307692307696,1.0,0,1,37.0,129.0,0,53.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2063,0,0,7,1,spamassassin
1,0,2,0.04987531172069826,0.0,0,0,0.0,73.0,0,10.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1111,0,0,8,1,nazario
1,7,1,0.03940217391304348,0.0,0,0,0.0,255.0,0,79.0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0.0857,0,0,7,0,nazario
4,0,0,0.03687768899815612,1.0,0,1,56.0,242.0,0,183.0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0.2222,0,0,3,0,spamassassin
11,51,4,0.04002208114821971,0.0,0,0,0.0,1208.0,0,361.0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,1,2,0,0,1,0,0,0.037,0,0,11,1,spamassassin
1,9,0,0.03347280334728033,4.0,0,0,39.666666666666664,79.0,0,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,1,8,1,spamassassin
0,0,0,0.015822784810126583,2.0,0,1,48.0,70.0,0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2222,0,0,1,0,spamassassin
9,5,1,0.0717902889484659,0.0,0,0,0.0,407.0,0,1009.0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0.0364,0,0,7,1,spamassassin
3,0,0,0.03003003003003003,0.0,0,0,0.0,50.0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,1,0,1,1,nazario
3,0,4,0.021808851828094934,1.0,0,1,37.0,289.0,0,78.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2308,0,0,3,0,spamassassin
3,0,0,0.02,1.0,0,1,37.0,221.0,0,45.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.5294,0,0,7,0,spamassassin
4,0,0,0.031088082901554404,1.0,0,0,48.0,24.0,0,15.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,5,0,spamassassin
1,0,1,0.039634146341463415,1.0,0,0,51.0,44.0,0,30.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,5,0,spamassassin
2,6,0,0.032947976878612714,0.0,0,0,0.0,298.0,0,225.0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0.0667,0,0,7,1,spamassassin
3,3,1,0.02727272727272727,1.0,0,0,41.0,116.0,0,78.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1562,0,0,6,0,nazario
6,0,0,0.037900874635568516,0.0,0,0,0.0,50.0,0,16.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0333,0,0,5,1,nazario
1,0,0,0.0691747572815534,1.0,0,0,22.0,127.0,0,117.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.15,0,0,5,0,nazario
5,2,0,0.22598870056497175,0.0,0,0,0.0,75.0,0,177.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,0,2,1,1,spamassassin
6,0,0,0.029335634167385678,0.0,0,1,0.0,126.0,0,266.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1176,0,0,3,1,nazario
4,0,0,0.030115146147032774,0.0,0,0,0.0,136.0,0,196.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.1,0,3,1,1,nazario
0,0,3,0.034974093264248704,0.0,0,0,0.0,120.0,0,36.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,4,0,nazario
2,0,0,0.03304347826086956,0.0,0,0,0.0,100.0,0,39.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1469,0,0,12,0,nazario
1,1,1,0.020301244269810084,1.0,0,0,19.0,254.0,0,113.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0.0455,0,0,3,0,spamassassin
4,0,0,0.047619047619047616,1.0,0,0,42.0,26.0,0,22.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0192,0,0,7,0,spamassassin
2,0,5,0.02859510982179859,2.0,0,0,52.0,386.0,0,337.0,0,0,0,0,0,1,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0.1364,0,0,6,0,spamassassin
1,0,1,0.012519561815336464,3.0,0,0,36.0,64.0,0,133.0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.05,0,0,10,0,spamassassin
2,0,5,0.03048180924287119,6.0,0,0,48.166666666666664,225.0,0,496.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0606,0,0,5,0,spamassassin
1,2,1,0.0,2.0,0,0,31.0,3.0,0,36.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1111,1,0,1,1,spamassassin
0,0,1,0.0319634703196347,1.0,0,0,66.0,19.0,0,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0857,0,0,6,0,spamassassin
1,0,1,0.02822085889570552,0.0,0,1,0.0,133.0,0,41.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0909,0,0,3,0,spamassassin
