body_length_chars,body_length_words,subject_length_chars,subject_length_words,exclamation_count,question_mark_count,special_char_count,capital_ratio,num_urls,has_ip_url,has_html,has_form
786,129,47,6,0,0,23,0.09352517985611511,0,0,0,0
386,60,35,6,0,0,11,0.09004739336492891,0,0,0,0
936,129,63,7,7,0,57,0.067,1,0,0,0
401,73,45,8,0,2,10,0.05592841163310962,0,0,0,0
1472,255,35,7,7,1,80,0.04045092838196287,0,0,1,0
1627,242,27,3,0,0,185,0.03987915407854985,1,0,1,0
7246,1208,54,11,51,4,366,0.03999452129845227,0,0,0,0
717,79,40,8,10,0,79,0.032981530343007916,4,0,0,0
632,70,9,1,0,0,41,0.018691588785046728,2,0,0,0
3357,407,55,7,5,1,1010,0.07119835921476707,0,0,1,0
333,50,6,1,0,0,5,0.03235294117647059,0,0,0,0
1559,289,13,3,0,4,79,0.023521932612841703,1,0,0,0
1150,221,34,7,0,0,51,0.03459915611814346,1,0,0,0
193,24,40,5,0,0,18,0.03418803418803419,1,0,0,0
328,44,28,5,0,1,33,0.056022408963585436,1,0,0,0
1730,298,45,7,6,0,226,0.033783783783783786,0,0,0,0
660,116,32,6,3,1,81,0.03318903318903319,1,0,0,0
343,50,30,5,0,0,17,0.0374331550802139,0,0,0,0
824,127,40,5,0,0,122,0.07283236994219654,1,0,0,0
885,75,7,1,4,0,180,0.22508398656215006,0,0,0,0
1159,126,34,3,0,0,270,0.031825795644891124,0,0,0,0
1129,136,10,1,3,0,199,0.03070175438596491,0,0,0,0
772,120,28,4,0,3,40,0.033707865168539325,0,0,0,0
575,100,143,12,0,0,61,0.055632823365785816,0,0,0,0
1527,254,22,3,1,2,116,0.02064516129032258,1,0,0,0
210,26,52,7,0,0,23,0.04182509505703422,1,0,0,0
2413,386,44,6,0,6,340,0.030512611879576892,2,0,0,0
639,64,60,10,0,1,136,0.015714285714285715,3,0,0,0
2034,225,33,5,0,5,500,0.030947775628626693,6,0,0,0
124,3,9,1,2,1,36,0.007462686567164179,2,0,0,0
219,19,35,6,0,1,24,0.0392156862745098,1,0,0,0
815,133,22,3,0,1,42,0.029832935560859187,0,0,0,0
1756,294,26,4,0,0,93,0.08524957936062816,1,0,0,0
835,119,5,1,5,1,50,0.23662306777645659,4,0,0,0
302,32,30,6,2,0,37,0.06006006006006006,2,0,0,0
191,34,12,3,1,0,7,0.27450980392156865,0,0,0,0
509,76,50,6,3,0,29,0.06428571428571428,0,0,0,0
1825,239,45,6,0,0,108,0.07803313735970069,2,0,0,0
1478,211,63,8,0,4,90,0.027237354085603113,4,0,0,0
629,101,27,5,0,3,82,0.0426179604261796,1,0,0,0
3004,463,94,2,0,8,157,0.07615359793481769,2,0,0,0
715,106,25,4,0,0,17,0.05128205128205128,0,0,0,0
976,165,42,8,0,0,27,0.05986261040235525,0,0,0,0
10160,1038,41,6,5,28,1280,0.0646931974122721,38,0,0,0
298,44,31,5,1,0,29,0.05757575757575758,1,0,0,0
3526,600,31,4,1,0,80,0.026138279932546374,0,0,0,0
316,44,18,3,0,0,35,0.0626865671641791,1,0,0,0
1494,247,34,7,0,2,90,0.02289077828646174,2,0,0,0
544,67,24,5,3,0,89,0.07205623901581722,1,0,0,0
1302,237,38,5,0,3,91,0.06636838180462341,1,0,0,0
1533,251,62,12,0,0,62,0.03446115288220551,2,0,0,0
947,161,40,6,0,1,84,0.04251012145748988,0,0,0,0
2847,54,54,7,0,3,168,0.3125430737422467,3,0,0,0
7252,400,35,7,0,0,370,0.27854006586169044,1,0,0,0
255,19,56,8,0,1,51,0.0641025641025641,2,0,0,0
588,93,76,10,0,0,27,0.05714285714285714,0,0,0,0
1594,122,44,6,0,0,48,0.03721781574130567,0,0,0,0
1319,198,47,9,16,0,90,0.091441111923921,1,0,1,0
112,15,14,4,0,0,9,0.05511811023622047,1,0,0,0
1096,140,40,6,2,0,95,0.06772207563764292,3,0,0,0
420,59,35,3,0,0,34,0.10964912280701754,0,0,0,0
1848,291,14,3,0,1,280,0.08373590982286634,3,0,0,0
1606,275,27,3,11,0,173,0.19767441860465115,0,0,1,0
540,59,49,9,0,0,94,0.05084745762711865,1,0,0,0
230,35,29,3,0,0,11,0.14615384615384616,0,0,0,0
2415,367,32,5,2,1,130,0.03839869281045752,5,0,0,0
550,95,21,5,0,0,26,0.013986013986013986,1,0,0,0
480,72,29,4,0,2,38,0.03725490196078431,1,0,0,0
18556,1067,85,10,5,0,2596,0.12777598970067588,2,0,0,0
5961,757,51,6,0,12,351,0.06735406618992183,9,0,0,0
23771,4258,66,9,1,27,852,0.03053947478815337,3,0,0,0
5233,885,41,6,0,0,165,0.06900473933649288,1,0,0,0
2490,408,33,7,1,2,241,0.028129952456418382,3,0,1,0
200,25,31,6,0,0,14,0.04741379310344827,1,0,0,0
1118,86,48,6,0,1,286,0.11311053984575835,3,0,0,0
1142,171,30,4,0,0,114,0.057971014492753624,1,0,1,0
1329,211,49,9,1,3,150,0.0340826686004351,0,0,0,0
9294,1099,61,9,1,1,225,0.07374946558358272,3,0,0,0
763,58,5,1,1,0,126,0.02990897269180754,7,0,0,0
1838,274,43,5,1,2,229,0.04144527098831031,3,0,0,0
603,129,8,2,0,0,82,0.049019607843137254,0,0,0,0
3290,497,59,10,2,5,478,0.034328358208955224,5,0,0,0
1162,187,35,4,0,2,99,0.045075125208681135,1,0,0,0
689,120,20,2,0,0,10,0.059154929577464786,0,0,0,0
450,86,4,1,0,0,11,0.046153846153846156,0,0,0,0
1766,240,31,5,0,4,339,0.03170189098998888,2,0,0,0
821,125,57,8,0,0,44,0.034129692832764506,1,0,0,0
2700,458,24,4,1,0,138,0.026788990825688072,1,0,1,0
1662,282,21,3,0,1,127,0.027315914489311165,2,0,0,0
3607,573,50,9,0,0,146,0.09404045926735921,0,0,1,0
1441,228,31,4,2,2,153,0.05295315682281059,3,0,0,0
188,36,26,4,0,0,21,0.07441860465116279,0,0,0,0
2872,471,45,8,0,0,169,0.08122001370801919,0,0,0,0
3961,666,26,5,1,4,349,0.03335005015045135,3,0,0,0
793,77,46,7,5,0,239,0.04642857142857143,5,0,0,0
1943,338,22,2,0,2,78,0.04425228891149542,0,0,0,0
1409,231,48,10,7,4,133,0.0953360768175583,0,0,0,0
1197,164,24,4,0,0,31,0.03355155482815057,0,0,0,0
204,22,38,6,0,0,23,0.053497942386831275,1,0,0,0
1397,255,17,3,1,1,42,0.045936395759717315,0,0,0,0
1313,223,37,6,0,3,82,0.030347890451517395,1,0,1,0
29448,3669,37,4,1,0,1925,0.12246489859594384,1,0,0,0
501,44,43,9,7,0,100,0.031192660550458717,6,1,1,0
1068,123,38,4,0,1,312,0.025293586269196026,2,0,0,0
537,93,49,10,0,0,60,0.03747870528109029,1,0,0,0
1779,317,28,4,0,1,197,0.034292035398230086,5,0,0,0
1109,77,62,13,10,3,196,0.08703071672354949,11,0,0,0
1661,236,32,6,0,2,182,0.023612750885478158,3,0,0,0
745,91,41,6,1,4,148,0.029224904701397714,2,0,0,0
2962,441,42,5,0,0,83,0.0875207986688852,0,0,0,0
241,35,13,3,0,0,12,0.047058823529411764,1,0,0,0
781,123,11,2,1,0,98,0.0403530895334174,1,0,0,0
754,90,30,5,0,3,70,0.03184713375796178,3,0,0,0
788,123,33,6,0,0,29,0.07177615571776155,0,0,0,0
606,76,35,5,0,1,109,0.03271028037383177,2,0,0,0
280,41,38,6,0,0,15,0.07836990595611286,0,0,0,0
173,35,17,2,0,2,5,0.04712041884816754,0,0,0,0
830,146,17,3,2,0,57,0.02358490566037736,0,0,0,0
1711,241,38,7,0,1,138,0.11828571428571429,3,0,1,0
284,25,13,2,1,0,48,0.06375838926174497,4,0,0,0
788,91,32,5,4,2,178,0.05481120584652863,3,0,0,0
2927,462,31,5,0,0,163,0.0388644812436634,2,0,0,0
